id,assessmentId,advisorId,pillar,content,updatedAt
c9979de0-6d8b-4712-8498-db44b638f5a9,ASM-000001,00000000-0000-0000-0000-000000000001,management,,2026-07-13T20:19:41.224Z
d4d5e8d3-3b42-40f0-855c-ecfaae77b6fe,ASM-000004,00000000-0000-0000-0000-000000000001,management,,2026-07-14T17:44:40.723Z
64756c0a-9a2d-4d55-b89f-47d021a3678b,ASM-000002,00000000-0000-0000-0000-000000000001,management,,2026-07-26T06:26:36.974Z
674b4ff3-28d8-4f13-97d2-91ae8d3d7354,ASM-000005,00000000-0000-0000-0000-000000000001,management,,2026-07-27T05:59:55.427Z
23407c88-9ccd-45e6-9d2b-f66c466feb20,ASM-000005,00000000-0000-0000-0000-000000000001,product,,2026-07-22T16:10:53.728Z
20ef060e-3cea-4feb-b10a-4832dc894fcb,ASM-000003,00000000-0000-0000-0000-000000000001,management,,2026-07-20T16:20:09.663Z
5ba002b9-9dd1-4769-a2df-0102e0cd930b,ASM-000005,00000000-0000-0000-0000-000000000001,legal,,2026-07-20T16:41:29.943Z
fbf95a03-c0f4-440f-b0e4-f9ff0bd87cfe,ASM-000005,00000000-0000-0000-0000-000000000001,operations,,2026-07-22T16:10:54.668Z
6dceb3c3-4e28-4b57-8ab2-a58303b7524e,ASM-000005,00000000-0000-0000-0000-000000000001,financial,,2026-07-22T16:10:56.014Z
75084aaa-d8b9-42ce-9e35-e500854ba6c7,ASM-000006,00000000-0000-0000-0000-000000000001,management,,2026-07-27T16:02:51.121Z
e0474801-db9e-4726-a7fa-3cde98a1a031,ASM-000002,00000000-0000-0000-0000-000000000001,product,,2026-07-26T06:21:52.982Z
d86e778e-3df6-4334-b897-06ab869b71e6,ASM-000002,00000000-0000-0000-0000-000000000001,financial,,2026-07-26T06:21:53.799Z
c9beb163-1315-4268-9456-036e7e7a9c77,ASM-000002,00000000-0000-0000-0000-000000000001,cultural,,2026-07-26T06:21:54.641Z
2ee9626b-2204-4aa9-9a23-1aa31591f206,ASM-000002,00000000-0000-0000-0000-000000000001,programs,,2026-07-26T06:21:56.085Z
