Country,ISO3,Year,Imports_USD,Exports_USD,Net_Balance_USD,GDP_USD,Trade_Pct_GDP
"United States",USA,2015,2794942000000,2270622000000,-524320000000,18295019000000,27.7
"United States",USA,2016,2738830000000,2235558000000,-503272000000,18804913000000,26.5
"United States",USA,2017,2931589000000,2388260000000,-543329000000,19612102000000,27.1
"United States",USA,2018,3131166000000,2538089000000,-593077000000,20656516000000,27.4
"United States",USA,2019,3116681000000,2539391000000,-577290000000,21539982000000,26.3
"United States",USA,2020,2782391000000,2163837000000,-618554000000,21375281000000,23.1
"United States",USA,2021,3417930000000,2568697000000,-849233000000,23725645000000,25.2
"United States",USA,2022,3974319000000,3036430000000,-937889000000,26054614000000,26.9
"United States",USA,2023,3859856000000,3073360000000,-786496000000,27811517000000,24.9
"United States",USA,2024,4113828000000,3215368000000,-898460000000,29298013000000,25
"China",CHN,2015,2003260696069,2362097053275,358836357206,11280814787469,38.7
"China",CHN,2016,1944490534275,2199974853570,255484319295,11456024084962,36.2
"China",CHN,2017,2208518918632,2424216052098,215697133466,12537559062283,37
"China",CHN,2018,2564121910995,2655609176087,91487265092,14147765772964,36.9
"China",CHN,2019,2521036548137,2641188436776,120151888639,14560167101283,35.5
"China",CHN,2020,2409650385964,2739785089628,330134703664,14996414166715,34.3
"China",CHN,2021,3132116155606,3537510275664,405394120058,18201698719564,36.6
"China",CHN,2022,3166016135468,3705070541733,539054406265,18316765021690,37.5
"China",CHN,2023,3167502597276,3544871083631,377368486355,18270356654533,36.7
"China",CHN,2024,3280170243047,3828873971972,548703728925,18729668435848,38
"Japan",JPN,2015,799671850412,775031229091,-24640621321,4534438580495,34.7
"Japan",JPN,2016,763174802439,803470630550,40295828111,5110357383254,30.7
"Japan",JPN,2017,829948316864,867373157903,37424841039,5038231631661,33.7
"Japan",JPN,2018,922228472389,923192943803,964471414,5154293721630,35.8
"Japan",JPN,2019,908590987611,893761110034,-14829877577,5245755000479,34.4
"Japan",JPN,2020,798645128767,785057625362,-13587503405,5189197543645,30.5
"Japan",JPN,2021,938755726387,912551747360,-26203979027,5225933520753,35.4
"Japan",JPN,2022,1076977967309,918412226914,-158565740395,4447976207315,44.9
"Japan",JPN,2023,988160815442,923420059651,-64740755791,4384854269962,43.6
"Japan",JPN,2024,958381808469,920960002390,-37421806079,4190008188359,44.9
"Germany",DEU,2015,1204648073432,1458592274325,253944200893,3425099578746,77.8
"Germany",DEU,2016,1215609853746,1472560807846,256950954100,3536787895179,76
"Germany",DEU,2017,1327357307454,1589089750187,261732442733,3765351626106,77.5
"Germany",DEU,2018,1485437649158,1723433049609,237995400451,4055433215302,79.1
"Germany",DEU,2019,1454588084839,1676629137012,222041052173,3959894794039,79.1
"Germany",DEU,2020,1332733837256,1541867660412,209133823156,3941398957074,72.9
"Germany",DEU,2021,1628851031194,1851846071996,222995040802,4355251953411,79.9
"Germany",DEU,2022,1813049636002,1916859170749,103809534747,4201021706479,88.8
"Germany",DEU,2023,1779045873341,1960255682616,181209809275,4562207532490,82
"Germany",DEU,2024,1764438191611,1941431210622,176993019011,4685592577805,79.1
"United Kingdom",GBR,2015,861463440127,821200386072,-40263054055,2945579890258,57.1
"United Kingdom",GBR,2016,833100578280,786640412454,-46460165826,2706807606539,59.8
"United Kingdom",GBR,2017,869550502969,836020370556,-33530132413,2699118387873,63.2
"United Kingdom",GBR,2018,957619509260,922834772428,-34784736832,2897028009916,64.9
"United Kingdom",GBR,2019,951880342949,917433768894,-34446574055,2875710080015,65
"United Kingdom",GBR,2020,795714534395,815801724784,20087190389,2724001478305,59.2
"United Kingdom",GBR,2021,934375952194,935667446175,1291493981,3194559188926,58.5
"United Kingdom",GBR,2022,1117793765633,1083593172366,-34200593267,3181244350465,69.2
"United Kingdom",GBR,2023,1131603446868,1091653856201,-39949590667,3420796653789,65
"United Kingdom",GBR,2024,1174549941083,1147692057155,-26857883928,3695539513534,62.8
"France",FRA,2015,776983112153,774108364253,-2874747900,2442483452643,63.5
"France",FRA,2016,786690099965,778134181664,-8555918301,2470407619777,63.3
"France",FRA,2017,856501561408,836510836278,-19990725130,2588868323335,65.4
"France",FRA,2018,942517078079,915638789627,-26878288452,2781576320884,66.8
"France",FRA,2019,913209092424,895514342479,-17694749945,2722793515172,66.4
"France",FRA,2020,801836174373,756174143647,-45662030726,2647926055110,58.8
"France",FRA,2021,964103785592,928139254791,-35964530801,2966433692008,63.8
"France",FRA,2022,1099664152806,1023340977697,-76323175109,2794788137067,76
"France",FRA,2023,1105442442028,1053069574155,-52372867873,3056250648138,70.6
"France",FRA,2024,1081453951069,1071066237472,-10387713597,3160442622465,68.1
"India",IND,2015,465097595426,416787940848,-48309654578,2103588360045,41.9
"India",IND,2016,480169055768,439642578076,-40526477692,2294796885663,40.1
"India",IND,2017,582018012522,498258808232,-83759204290,2651474262755,40.7
"India",IND,2018,640300806739,538635186135,-101665620604,2702929641649,43.6
"India",IND,2019,602315056053,529245063167,-73069992886,2835606256558,39.9
"India",IND,2020,510244747372,499728529073,-10516218299,2674851578587,37.8
"India",IND,2021,760902891806,677769255429,-83133636377,3167270623260,45.4
"India",IND,2022,866361019119,781290791564,-85070227555,3249938492013,50.7
"India",IND,2023,839102411987,782620610192,-56481801795,3500906030645,46.3
"India",IND,2024,897055898132,829785193474,-67270704658,3760813470501,45.9
"Brazil",BRA,2015,253272712378,232488824445,-20783887933,1802212206815,27
"Brazil",BRA,2016,216686387070,223863343103,7176956033,1795693482853,24.5
"Brazil",BRA,2017,243510584263,258330777007,14820192744,2063514977366,24.3
"Brazil",BRA,2018,272994464677,280543266303,7548801626,1916933898011,28.9
"Brazil",BRA,2019,276634813667,264562979421,-12071834246,1873288205060,28.9
"Brazil",BRA,2020,233941246230,242872071018,8930824788,1476107231310,32.3
"Brazil",BRA,2021,309853308959,319251201403,9397892444,1670647398905,37.7
"Brazil",BRA,2022,374482483051,383177602116,8695119065,1951923942083,38.8
"Brazil",BRA,2023,343939883229,393731572888,49791689659,2191131765685,33.7
"Brazil",BRA,2024,385708868264,392105346047,6396477783,2185821610689,35.6
"Canada",CAN,2015,534115083556,495747450358,-38367633198,1556510380200,66.2
"Canada",CAN,2016,517396012626,481357649980,-36038362646,1527996250641,65.4
"Canada",CAN,2017,554922650425,518766780220,-36155870205,1649269496515,65.1
"Canada",CAN,2018,591347645767,557719627178,-33628018589,1725330736238,66.6
"Canada",CAN,2019,589706748631,564142104615,-25564644016,1743728952157,66.2
"Canada",CAN,2020,524572641557,487990676643,-36581964914,1655686966882,61.2
"Canada",CAN,2021,628388638999,630478158310,2089519311,2022377950897,62.2
"Canada",CAN,2022,731290006744,742056361163,10766354419,2200562785046,67
"Canada",CAN,2023,729991623300,732380673864,2389050564,2196593836347,66.6
"Canada",CAN,2024,741233987716,737073649329,-4160338387,2270076189683,65.1
"Italy",ITA,2015,485192095145,537833599948,52641504803,1845428048839,55.4
"Italy",ITA,2016,483730717981,543464412394,59733694413,1887111188177,54.4
"Italy",ITA,2017,540827068435,593973032350,53145963915,1970720904585,57.6
"Italy",ITA,2018,597530269521,646909638535,49379369014,2099435266459,59.3
"Italy",ITA,2019,560326098494,625065757186,64739658692,2019606796584,58.7
"Italy",ITA,2020,480945200913,547940256805,66995055892,1907481094079,53.9
"Italy",ITA,2021,634811260436,679294123498,44482863062,2179207773596,60.3
"Italy",ITA,2022,776766269323,738509644129,-38256625194,2104067630319,72
"Italy",ITA,2023,736153956396,772202263040,36048306644,2316882296366,65.1
"Italy",ITA,2024,721169108147,770685525117,49516416970,2383435562458,62.6
"Korea, Rep.",KOR,2015,529797582127,630586518886,100788936759,1539212301136,75.4
"Korea, Rep.",KOR,2016,501960383970,601861440814,99901056844,1579150518945,69.9
"Korea, Rep.",KOR,2017,587337161919,664392456663,77055294744,1710196756713,73.2
"Korea, Rep.",KOR,2018,643142886152,719710064860,76567178708,1824251454307,74.7
"Korea, Rep.",KOR,2019,602460189255,648610576583,46150387328,1751045752055,71.4
"Korea, Rep.",KOR,2020,539436709934,603713417774,64276707840,1744070276373,65.5
"Korea, Rep.",KOR,2021,698601348291,764083221346,65481873055,1942313560966,75.3
"Korea, Rep.",KOR,2022,814936711591,815019022384,82310793,1799363116867,90.6
"Korea, Rep.",KOR,2023,755197457230,762299062736,7101605506,1844800934392,82.3
