Country,ISO3,Year,Imports_USD,Exports_USD,Net_Balance_USD,GDP_USD,Trade_Pct_GDP
"Afghanistan",AFG,2019,0,0,0,18799444490,0
"Afghanistan",AFG,2020,7241822542,2079570875,-5162251667,19955929052,46.7
"Afghanistan",AFG,2021,5286118076,2045190335,-3240927741,14259995441,51.4
"Afghanistan",AFG,2022,7901784706,2664599571,-5237185135,14497243872,72.9
"Afghanistan",AFG,2023,8707211783,2784713052,-5922498731,17152234637,67
"Afghanistan",AFG,2024,12100101719,2791715131,-9308386588,17778508876,83.8
"Afghanistan",AFG,2025,0,0,0,0,0
"Albania",ALB,2019,6926959713,4821429218,-2105530495,15585111614,75.4
"Albania",ALB,2020,5636282434,3435540416,-2200742018,15241458745,59.5
"Albania",ALB,2021,8016544326,5613909458,-2402634868,18031989573,75.6
"Albania",ALB,2022,9033376425,7073859741,-1959516684,19017247014,84.7
"Albania",ALB,2023,10320565554,9025058562,-1295506992,23491242727,82.4
"Albania",ALB,2024,11672014788,9810511992,-1861502796,27037474263,79.5
"Albania",ALB,2025,12985289569,11304181754,-1681107815,30540188271,79.5
"Algeria",DZA,2019,50490845024,39481135535,-11009709489,193459662091,46.5
"Algeria",DZA,2020,40978554436,25613416650,-15365137786,164873415325,40.4
"Algeria",DZA,2021,43564492198,43660727771,96235573,186231205262,46.8
"Algeria",DZA,2022,46015346670,69460098852,23444752182,225581644703,51.2
"Algeria",DZA,2023,49460165881,58981242697,9521076816,247923887215,43.7
"Algeria",DZA,2024,54624467792,53466882957,-1157584835,269322281665,40.1
"Algeria",DZA,2025,63560679354,48321061533,-15239617821,287031225988,39
"Andorra",AND,2019,0,0,0,3155149348,0
"Andorra",AND,2020,0,0,0,2891001149,0
"Andorra",AND,2021,0,0,0,3324647529,0
"Andorra",AND,2022,0,0,0,3380612573,0
"Andorra",AND,2023,0,0,0,3785067332,0
"Andorra",AND,2024,0,0,0,4044249679,0
"Andorra",AND,2025,0,0,0,4500982732,0
"Angola",AGO,2019,19016585500,30001180996,10984595496,81193813808,60.4
"Angola",AGO,2020,13399763094,18583150428,5183387334,58512033806,54.7
"Angola",AGO,2021,17564145355,31385829561,13821684206,78283923544,62.5
"Angola",AGO,2022,26319489923,46181518626,19862028703,128233959333,56.5
"Angola",AGO,2023,22202765695,34643370052,12440604357,106042349567,53.6
"Angola",AGO,2024,19553789239,31830777325,12276988086,103080538044,49.8
"Angola",AGO,2025,14256453829,28073040733,13816586904,122174889424,34.6
"Antigua and Barbuda",ATG,2019,1180425926,1194092593,13666667,1726448148,137.5
"Antigua and Barbuda",ATG,2020,739748148,591277778,-148470370,1411637037,94.3
"Antigua and Barbuda",ATG,2021,866970370,752377778,-114592592,1602125926,101.1
"Antigua and Barbuda",ATG,2022,1175559259,1021455556,-154103703,1857114815,118.3
"Antigua and Barbuda",ATG,2023,0,0,0,2054096296,0
"Antigua and Barbuda",ATG,2024,0,0,0,2162366667,0
"Antigua and Barbuda",ATG,2025,0,0,0,2338196296,0
"Argentina",ARG,2019,65845624691,80259482469,14413857778,447754683615,32.6
"Argentina",ARG,2020,52454091268,64053810078,11599718810,385740508437,30.2
"Argentina",ARG,2021,73042905138,87906118245,14863213107,486564085480,33.1
"Argentina",ARG,2022,96991607941,103224756800,6233148859,633993756301,31.6
"Argentina",ARG,2023,89980573298,83276004575,-6704568723,649461687959,26.7
"Argentina",ARG,2024,80944817978,97349127043,16404309065,638365455340,27.9
"Argentina",ARG,2025,101159779351,106260393151,5100613800,683097891619,30.4
"Armenia",ARM,2019,7570200592,5755867284,-1814333308,13619290539,97.8
"Armenia",ARM,2020,5062331396,3802199215,-1260132181,12641698583,70.1
"Armenia",ARM,2021,6048430236,4950452984,-1097977252,13878908629,79.2
"Armenia",ARM,2022,10207068194,10063294925,-143773269,19513506553,103.9
"Armenia",ARM,2023,15094573227,14755463718,-339109509,24185982216,123.4
"Armenia",ARM,2024,19840049652,19109663382,-730386270,25955275380,150.1
"Armenia",ARM,2025,15676547634,14065779954,-1610767680,29243452882,101.7
"Australia",AUS,2019,306786753626,336477593836,29690840210,1398349602956,46
"Australia",AUS,2020,274154332727,319174580744,45020248017,1333336461648,44.5
"Australia",AUS,2021,284038962018,343364164706,59325202688,1560617493203,40.2
"Australia",AUS,2022,343078219088,431732710876,88654491788,1695627535476,45.7
"Australia",AUS,2023,387533147572,463117015978,75583868406,1734451264656,49
"Australia",AUS,2024,395749225409,432605705549,36856480140,1757022451653,47.1
"Australia",AUS,2025,407490633311,418055624771,10564991460,1798518933689,45.9
"Austria",AUT,2019,231731288459,247609283522,15877995063,442983642372,108.2
"Austria",AUT,2020,209749421171,224423223721,14673802550,434397601558,99.9
"Austria",AUT,2021,264636005985,268839884920,4203878935,480466363177,111
"Austria",AUT,2022,294117763031,290687124329,-3430638702,473221298968,123.6
"Austria",AUT,2023,292777313124,302183838743,9406525619,516670509629,115.2
"Austria",AUT,2024,284227859384,297762301951,13534442567,534790720467,108.8
"Austria",AUT,2025,303166499175,316981385995,13814886820,579470021095,107
"Azerbaijan",AZE,2019,17712470588,23629764706,5917294118,48174235294,85.8
"Azerbaijan",AZE,2020,15537823529,15208764706,-329058823,42693000000,72
"Azerbaijan",AZE,2021,16336941176,25487647059,9150705883,54825411765,76.3
"Azerbaijan",AZE,2022,21274411765,47274117647,25999705882,78807470588,87
"Azerbaijan",AZE,2023,25016411765,35487352941,10470941176,72428470588,83.5
"Azerbaijan",AZE,2024,27338823529,34112882353,6774058824,74426000000,82.6
"Azerbaijan",AZE,2025,27950647059,32670058824,4719411765,75937647059,79.8
"Bahamas",BHS,2019,4488400000,4644400000,156000000,13277000000,68.8
"Bahamas",BHS,2020,3124200000,2411900000,-712300000,10363200000,53.4
"Bahamas",BHS,2021,4569400000,3366900000,-1202500000,12037000000,65.9
"Bahamas",BHS,2022,5395300000,5163900000,-231400000,13896800000,76
"Bahamas",BHS,2023,5915800000,5774300000,-141500000,15271300000,76.5
"Bahamas",BHS,2024,6564100000,5982200000,-581900000,15832800000,79.2
"Bahamas",BHS,2025,0,0,0,0,0
"Bahrain",BHR,2019,25207712766,29564361702,4356648936,40446808511,135.4
"Bahrain",BHR,2020,23296808511,25249202128,1952393617,35837632979,135.5
"Bahrain",BHR,2021,27577393617,35234574468,7657180851,40840212766,153.8
"Bahrain",BHR,2022,33068882979,44581914894,11513031915,46458191489,167.1
"Bahrain",BHR,2023,32379255319,40349468085,7970212766,46192260638,157.4
"Bahrain",BHR,2024,33044414894,41303457447,8259042553,47210732713,157.5
"Bahrain",BHR,2025,0,0,0,48965725532,0
"Bangladesh",BGD,2019,64919190426,45992932855,-18926257571,351231654604,31.6
"Bangladesh",BGD,2020,59195931838,39053880560,-20142051278,373979442362,26.3
"Bangladesh",BGD,2021,71021045805,44386125442,-26634920363,416271647911,27.7
"Bangladesh",BGD,2022,96157127887,59275206086,-36881921801,460131689083,33.8
"Bangladesh",BGD,2023,77972815573,57551452001,-20421363572,437415333018,31
"Bangladesh",BGD,2024,73445483484,47087839244,-26357644240,450119432069,26.8
"Bangladesh",BGD,2025,76818948730,50724940945,-26094007785,456319229256,28
"Barbados",BRB,2019,0,0,0,6166710800,0
"Barbados",BRB,2020,0,0,0,5403246950,0
"Barbados",BRB,2021,0,0,0,5948900600,0
"Barbados",BRB,2022,0,0,0,6886644900,0
"Barbados",BRB,2023,0,0,0,7223248150,0
"Barbados",BRB,2024,0,0,0,7597571450,0
"Barbados",BRB,2025,0,0,0,8016550000,0
"Belarus",BLR,2019,42353437235,41927532636,-425904599,64410170653,130.9
"Belarus",BLR,2020,35547749096,37444144984,1896395888,61371673345,118.9
"Belarus",BLR,2021,45415029494,49351137897,3936108403,69673747132,136
"Belarus",BLR,2022,42031948517,46516126576,4484178059,73775179925,120
"Belarus",BLR,2023,47515586812,47855354382,339767570,72478760370,131.6
"Belarus",BLR,2024,51152858488,49635542198,-1517316290,78591839300,128.2
"Belarus",BLR,2025,53261674554,51443726734,-1817947820,93397215864,112.1
"Belgium",BEL,2019,442788775444,445308040881,2519265437,536726344405,165.5
"Belgium",BEL,2020,411854672040,419501446550,7646774510,529694473502,157
"Belgium",BEL,2021,525242552932,536427964593,11185411661,598522422242,177.4
"Belgium",BEL,2022,571920929941,558111250101,-13809679840,591474463579,191.1
"Belgium",BEL,2023,541280155477,538931856272,-2348299205,650779364364,166
"Belgium",BEL,2024,534805055514,532215676718,-2589378796,670983130619,159
"Belgium",BEL,2025,562002311236,547364961669,-14637349567,725466462860,152.9
"Belize",BLZ,2019,1200664850,1238668200,38003350,2381187850,102.4
"Belize",BLZ,2020,900924400,770543100,-130381300,2047284600,81.6
"Belize",BLZ,2021,1248326800,1155566850,-92759950,2428606250,99
"Belize",BLZ,2022,1573075200,1496710050,-76365150,2846604350,107.8
"Belize",BLZ,2023,1571040800,1676688500,105647700,3052362650,106.4
"Belize",BLZ,2024,1721921750,1769154200,47232450,3203631800,109
"Belize",BLZ,2025,0,0,0,3326500000,0
"Benin",BEN,2019,4900485060,4264332527,-636152533,14391686313,63.7
"Benin",BEN,2020,3915530456,3117343142,-798187314,15686741884,44.8
"Benin",BEN,2021,4799723189,3700039683,-1099683506,17687623530,48.1
"Benin",BEN,2022,4106516765,3627155582,-479361183,17425405091,44.4
"Benin",BEN,2023,4851357176,3935350522,-916006654,19673291004,44.7
"Benin",BEN,2024,4683140134,4047363784,-635776350,21482643706,40.6
"Benin",BEN,2025,4929128052,4189174580,-739953472,24566420904,37.1
"Bhutan",BTN,2019,1221920791,860577748,-361343043,2735683570,76.1
"Bhutan",BTN,2020,1075563545,689742275,-385821270,2457604334,71.8
"Bhutan",BTN,2021,1339649528,808455597,-531193931,2768802960,77.6
"Bhutan",BTN,2022,1741034284,739014454,-1002019830,2898227744,85.6
"Bhutan",BTN,2023,1607335845,855304392,-752031453,3012896790,81.7
"Bhutan",BTN,2024,1601941678,1054008208,-547933470,3346603859,79.4
"Bhutan",BTN,2025,0,0,0,3579320145,0
"Bolivia",BOL,2019,12643630391,9834601158,-2809029233,49056643589,45.8
"Bolivia",BOL,2020,8735545774,7139077207,-1596468567,42313784081,37.5
"Bolivia",BOL,2021,11545547250,11276448090,-269099160,47877892402,47.7
"Bolivia",BOL,2022,15150615137,14163562909,-987052228,50959081954,57.5
"Bolivia",BOL,2023,14239423386,11725676874,-2513746512,52340206946,49.6
"Bolivia",BOL,2024,14018232750,11763846802,-2254385948,54881327453,47
"Bolivia",BOL,2025,0,0,0,64768947525,0
"Bosnia and Herzegovina",BIH,2019,11158117517,8201250826,-2956866691,20482608984,94.5
"Bosnia and Herzegovina",BIH,2020,9694297978,6996561967,-2697736011,20226038370,82.5
"Bosnia and Herzegovina",BIH,2021,12763502914,10137269156,-2626233758,23672712121,96.7
"Bosnia and Herzegovina",BIH,2022,15186504680,11851990990,-3334513690,24534663636,110.2
"Bosnia and Herzegovina",BIH,2023,15369301842,12121804463,-3247497379,27592361498,99.6
"Bosnia and Herzegovina",BIH,2024,16075269811,12103908354,-3971361457,29737363103,94.8
"Bosnia and Herzegovina",BIH,2025,17643126768,13366489382,-4276637386,32599982936,95.1
"Botswana",BWA,2019,7694781425,6203274315,-1491507110,16725908149,83.1
"Botswana",BWA,2020,7341599357,4675227906,-2666371451,14960251608,80.3
"Botswana",BWA,2021,9238937562,7832700186,-1406237376,18750182236,91
"Botswana",BWA,2022,8654887423,8835446423,180559000,20321150599,86.1
"Botswana",BWA,2023,7224959116,6386475984,-838483132,19413614555,70.1
"Botswana",BWA,2024,8171323580,5222081145,-2949242435,19286251068,69.4
"Botswana",BWA,2025,7475356083,6383839016,-1091517067,19928479839,69.5
"Brazil",BRA,2019,276634813667,264562979421,-12071834246,1873288205060,28.9
"Brazil",BRA,2020,233941246230,242872071018,8930824788,1476107231310,32.3
"Brazil",BRA,2021,309853308959,319251201403,9397892444,1670647398905,37.7
"Brazil",BRA,2022,374482483051,383177602116,8695119065,1951923942083,38.8
"Brazil",BRA,2023,343939883229,393731572888,49791689659,2191131765685,33.7
"Brazil",BRA,2024,385708868264,392105346047,6396477783,2185821610689,35.6
"Brazil",BRA,2025,398319353081,406298241937,7978888856,2279920092492,35.3
"Brunei",BRN,2019,6810532693,7804888585,994355892,13469235365,108.5
"Brunei",BRN,2020,6355257110,6886059826,530802716,12005799654,110.3
"Brunei",BRN,2021,9377937978,11228855781,1850917803,14006496617,147.1
"Brunei",BRN,2022,10106443643,14411072072,4304628429,16681536467,147
"Brunei",BRN,2023,9081237975,11578413348,2497175373,15095084656,136.9
"Brunei",BRN,2024,8946252974,11393732340,2447479366,15340808592,132.6
"Brunei",BRN,2025,7822316770,10758583397,2936266627,15031980994,123.6
"Bulgaria",BGR,2019,41764330853,44053127057,2288796204,68511235459,125.3
"Bulgaria",BGR,2020,38028750956,39809586250,1780835294,70490478088,110.4
"Bulgaria",BGR,2021,50091113311,52188034904,2096921593,84378926047,121.2
"Bulgaria",BGR,2022,62330614856,63338969112,1008354256,90510784778,138.8
"Bulgaria",BGR,2023,59170791456,63371847847,4201056391,102204457335,119.9
"Bulgaria",BGR,2024,61045719079,63894874228,2849155149,113349149167,110.2
"Bulgaria",BGR,2025,67710937458,66354382381,-1356555077,130777235530,102.5
"Burkina Faso",BFA,2019,4994381288,4690831780,-303549508,16032813503,60.4
"Burkina Faso",BFA,2020,5133679371,5632452791,498773420,17725010533,60.7
"Burkina Faso",BFA,2021,5835051415,6460208897,625157482,19697516284,62.4
"Burkina Faso",BFA,2022,6760351772,5813561183,-946790589,18622421395,67.5
"Burkina Faso",BFA,2023,6877000996,5820589717,-1056411279,20106062972,63.2
"Burkina Faso",BFA,2024,7387126426,6608822104,-778304322,23136514856,60.5
"Burkina Faso",BFA,2025,8291794759,9666763788,1374969029,27627297461,65
"Burundi",BDI,2019,0,0,0,2871555326,0
"Burundi",BDI,2020,0,0,0,3188355944,0
"Burundi",BDI,2021,0,0,0,3425127991,0
"Burundi",BDI,2022,0,0,0,4020736757,0
"Burundi",BDI,2023,0,0,0,3419558408,0
"Burundi",BDI,2024,0,0,0,3037579858,0
"Burundi",BDI,2025,0,0,0,3364713864,0
"Cabo Verde",CPV,2019,1281435257,1051880072,-229555185,2252177124,103.6
"Cabo Verde",CPV,2020,967252868,460735345,-506517523,1821565614,78.4
"Cabo Verde",CPV,2021,1099895576,489360327,-610535249,2051842619,77.5
"Cabo Verde",CPV,2022,1310225013,869236486,-440988527,2247003344,97
"Cabo Verde",CPV,2023,1396322814,983790275,-412532539,2504525538,95
"Cabo Verde",CPV,2024,1471461002,1158196704,-313264298,2713721857,96.9
"Cabo Verde",CPV,2025,1630785621,1283053105,-347732516,3056630435,95.3
"Cambodia",KHM,2019,22117532079,20340881133,-1776650946,36685356408,115.7
"Cambodia",KHM,2020,21651131247,20863615890,-787515357,34818073901,122.1
"Cambodia",KHM,2021,27158061718,26621743091,-536318627,36790163687,146.2
"Cambodia",KHM,2022,29462601452,28878876682,-583724770,39994532960,145.9
"Cambodia",KHM,2023,28497892006,28319442900,-178449106,42335646896,134.2
"Cambodia",KHM,2024,33412575812,33078910281,-333665531,46352647037,143.4
"Cambodia",KHM,2025,34576163751,35193057307,616893556,51267065843,136.1
"Cameroon",CMR,2019,9333197588,7874085867,-1459111721,39667757528,43.4
"Cameroon",CMR,2020,7544311297,6212103785,-1332207512,40773241177,33.7
"Cameroon",CMR,2021,9102291771,7430968539,-1671323232,45011937347,36.7
"Cameroon",CMR,2022,9740770348,8568684369,-1172085979,44347206073,41.3
"Cameroon",CMR,2023,10269387816,8226588945,-2042798871,48814501547,37.9
"Cameroon",CMR,2024,9982430836,8353326094,-1629104742,53296694320,34.4
"Cameroon",CMR,2025,11960615220,7713888549,-4246726671,58933453924,33.4
"Canada",CAN,2019,589706748631,564142104615,-25564644016,1743728952157,66.2
"Canada",CAN,2020,524572641557,487990676643,-36581964914,1655686966882,61.2
"Canada",CAN,2021,628388638999,630478158310,2089519311,2022377950897,62.2
"Canada",CAN,2022,731290006744,742056361163,10766354419,2200562785046,67
"Canada",CAN,2023,729991623300,732380673864,2389050564,2196593836347,66.6
"Canada",CAN,2024,741233987716,737073649329,-4160338387,2270076189683,65.1
"Canada",CAN,2025,746500089837,726879970410,-19620119427,2319899772426,63.5
"Central African Republic",CAF,2019,762137823,349974469,-412163354,2221301351,50.1
"Central African Republic",CAF,2020,799194659,353021263,-446173396,2326720900,49.5
"Central African Republic",CAF,2021,778394733,332868821,-445525912,2516498412,44.2
"Central African Republic",CAF,2022,784669456,293074003,-491595453,2382618615,45.2
"Central African Republic",CAF,2023,742108360,369034171,-373074189,2555492086,43.5
"Central African Republic",CAF,2024,864653559,412917514,-451736045,2751494281,46.4
"Central African Republic",CAF,2025,1029045766,593132852,-435912914,3066109226,52.9
"Chad",TCD,2019,3235878756,3721677783,485799027,14905517743,46.7
"Chad",TCD,2020,2890407316,3178743027,288335711,14932897821,40.6
"Chad",TCD,2021,2980116474,4434510318,1454393844,16871937698,43.9
"Chad",TCD,2022,2897673571,5657938456,2760264885,17828508290,48
"Chad",TCD,2023,3259676237,5340996645,2081320408,18352937976,46.9
"Chad",TCD,2024,3358335600,5511283770,2152948170,19906706690,44.6
"Chad",TCD,2025,3589848355,6316032159,2726183804,21472835225,46.1
"Chile",CHL,2019,82753870848,77571036969,-5182833879,278308438545,57.6
"Chile",CHL,2020,68216602660,79592398711,11375796051,254103710483,58.2
"Chile",CHL,2021,103693578714,100881456526,-2812122188,315507493783,64.8
"Chile",CHL,2022,119270630425,107256627766,-12014002659,301099244104,75.2
"Chile",CHL,2023,100410335716,103343502222,2933166506,335802745366,60.7
"Chile",CHL,2024,99521252623,111066428902,11545176279,329260633699,64
"Chile",CHL,2025,108715223275,123520198503,14804975228,357371159575,65
"China",CHN,2019,2521036548137,2641188436776,120151888639,14560167101283,35.5
"China",CHN,2020,2409650385964,2739785089628,330134703664,14996414166715,34.3
"China",CHN,2021,3132116155606,3537510275664,405394120058,18201698719564,36.6
"China",CHN,2022,3166016135468,3705070541733,539054406265,18316765021690,37.5
"China",CHN,2023,3167502597276,3544871083631,377368486355,18270356654533,36.7
"China",CHN,2024,3280170243047,3828873971972,548703728925,18729668435848,38
"China",CHN,2025,3292280901123,4108470555118,816189653995,19498039388043,38
"Colombia",COL,2019,70067176051,51258795210,-18808380841,323031701193,37.6
