country_iso3,country_name,year,indicator_code,indicator_name,value
AUS,"Australia",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",395749225409.455
AUS,"Australia",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",387533147572.319
AUS,"Australia",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",343078219088.328
AUS,"Australia",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",284038962017.929
AUS,"Australia",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",274154332727.111
AUS,"Australia",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",306786753625.531
AUS,"Australia",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",311861687284.904
AUS,"Australia",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",277671313150.053
AUS,"Australia",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",261827324555.529
AUS,"Australia",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",291850364122.4
BRA,"Brazil",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",385708868264.323
BRA,"Brazil",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",343939883228.749
BRA,"Brazil",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",374482483050.831
BRA,"Brazil",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",309853308958.678
BRA,"Brazil",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",233941246230.247
BRA,"Brazil",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",276634813667.029
BRA,"Brazil",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",272994464677.427
BRA,"Brazil",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",243510584262.84
BRA,"Brazil",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",216686387069.85
BRA,"Brazil",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",253272712377.634
CAN,"Canada",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",741233987715.737
CAN,"Canada",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",729991623300.122
CAN,"Canada",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",731290006744.08
CAN,"Canada",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",628388638999.206
CAN,"Canada",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",524572641557.224
CAN,"Canada",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",589706748631.384
CAN,"Canada",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",591347645767.306
CAN,"Canada",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",554922650425.45
CAN,"Canada",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",517396012626.09
CAN,"Canada",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",534115083556.223
CHN,"China",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",3280170243047.19
CHN,"China",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",3167502597276.28
CHN,"China",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",3166016135468.4
CHN,"China",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",3132116155606.12
CHN,"China",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",2409650385964.34
CHN,"China",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",2521036548136.79
CHN,"China",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",2564121910994.89
CHN,"China",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",2208518918632.2
CHN,"China",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1944490534275.23
CHN,"China",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",2003260696068.67
DEU,"Germany",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1764438191610.94
DEU,"Germany",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1779045873341.21
DEU,"Germany",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1813049636001.95
DEU,"Germany",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1628851031193.77
DEU,"Germany",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1332733837256.03
DEU,"Germany",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1454588084839.21
DEU,"Germany",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1485437649157.65
DEU,"Germany",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1327357307454.12
DEU,"Germany",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1215609853746.31
DEU,"Germany",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1204648073431.64
FRA,"France",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1081453951068.75
FRA,"France",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1105442442028.06
FRA,"France",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1099664152806.23
FRA,"France",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",964103785591.845
FRA,"France",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",801836174373.076
FRA,"France",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",913209092423.528
FRA,"France",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",942517078079.137
FRA,"France",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",856501561408.354
FRA,"France",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",786690099965.255
FRA,"France",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",776983112152.851
GBR,"United Kingdom",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1174549941083.14
GBR,"United Kingdom",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1131603446867.99
GBR,"United Kingdom",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",1117793765633.44
GBR,"United Kingdom",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",934375952193.96
GBR,"United Kingdom",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",795714534395.164
GBR,"United Kingdom",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",951880342949.163
GBR,"United Kingdom",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",957619509260.342
GBR,"United Kingdom",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",869550502969.043
GBR,"United Kingdom",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",833100578279.813
GBR,"United Kingdom",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",861463440127.243
IDN,"Indonesia",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",286245903350.957
IDN,"Indonesia",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",269460535788.982
IDN,"Indonesia",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",276506804558.242
IDN,"Indonesia",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",222923845055.988
IDN,"Indonesia",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",165646843301.933
IDN,"Indonesia",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",213034646334.827
IDN,"Indonesia",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",230045612385.068
IDN,"Indonesia",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",194777319195.676
IDN,"Indonesia",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",170835000830.242
IDN,"Indonesia",2015,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",178863652305.893
IND,"India",2024,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",897055898132
IND,"India",2023,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",839102411987.341
IND,"India",2022,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",866361019118.766
IND,"India",2021,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",760902891806.013
IND,"India",2020,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",510244747372.174
IND,"India",2019,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",602315056052.526
IND,"India",2018,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",640300806738.542
IND,"India",2017,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",582018012521.568
IND,"India",2016,NE.IMP.GNFS.CD,"Imports of goods and services (current US$)",480169055768.282
