country_iso3,country_name,year,gdp_usd,gdp_per_capita_usd,gni_usd,population,total_imports_usd,total_exports_usd,merchandise_imports_usd,merchandise_exports_usd,trade_pct_gdp,trade_balance_usd,tariff_weighted_all,tariff_simple_all,tariff_weighted_manuf,tariff_weighted_primary,food_imports_pct,fuel_imports_pct,manuf_imports_pct,food_exports_pct,fuel_exports_pct,manuf_exports_pct,import_concentration_hhi,export_concentration_hhi,exchange_rate_lcu_per_usd
AUS,"Australia",2015,1356805839935.9,56970.3613028094,1329206917868,23815995,291850364122.4,271152836560.501,208501000000,187684000000,41.4947506939901,-28773630265.3472,1.9,2.5,2.31,0.52,6.56255914980785,10.843191876506,75.8769752521757,16.1915205417184,25.2908141411795,13.7678544559038,56.0415432693534,49.9518888089059,1.33109026245502
AUS,"Australia",2016,1211588128417.61,50084.4440606385,1182946465487.62,24190907,261827324555.529,232663011512.861,196270000000,192505000000,40.813402217321,-12915729462.2999,1.18,2.3,1.41,0.44,7.10054987790893,9.28820929269105,77.3414029961542,14.6721390580282,25.5970925023236,13.7533180150723,55.2722184252935,50.6339465810477,1.34521397601947
AUS,"Australia",2017,1330890554614.09,54117.547718609,1294543002785.18,24592588,277671313150.053,281774035049.614,228780000000,231131000000,42.0354135251854,3124230284.15263,0.89,2.23,0.97,0.62,6.48222765314289,10.3824539712317,73.7679522516319,14.0459429362126,30.3161990720307,11.7510093112444,54.8678601099578,48.037300107255,1.30475807671592
AUS,"Australia",2018,1433144978761.67,57410.1737346009,1387743000651.1,24963258,311861687284.904,312605804111.245,235386000000,257098000000,43.5732253645218,11002049820.2101,0.86,2.22,0.95,0.58,6.52594691958162,13.312364622072,74.016834398448,11.8414555496122,35.535320392044,11.2645395870643,54.1327345178271,48.6179159011901,1.33841214646451
AUS,"Australia",2019,1398349602956.35,55194.7585097428,1350713662978.85,25334826,306786753625.531,336477593836.115,221564000000,271005000000,46.0016827052171,41304937027.1211,0.77,2.03,0.83,0.6,7.16469389675818,12.5737504568742,74.6992010880294,11.0197731750988,32.4480251523319,11.0489482828225,54.4901711034551,47.4810804241065,1.43850654421382
AUS,"Australia",2020,1333336461648.09,51983.4523666382,1301591217301.01,25649248,274154332727.111,319174580744.374,211824000000,250823000000,44.499564103879,43039657134.7925,0.71,1.97,0.75,0.69,7.59766516403535,8.1813026764699,77.4686374545085,11.3492210938212,21.3125228177134,10.5328054291376,53.3072171496599,48.2963149754656,1.45308511847016
AUS,"Australia",2021,1560617493202.69,60758.9044397144,1539999805951.18,25685412,284038962017.929,343364164705.654,261165000000,344864000000,40.2022359390595,81917574427.2483,0.81,1.93,0.85,0.72,6.44421129042264,10.2677770093236,77.4811035189482,11.102611449477,27.706071696529,8.23857453952919,53.6447389563457,47.2812664317804,1.33122425957081
AUS,"Australia",2022,1695627535475.8,65169.5191118657,1629211583573.56,26018721,343078219088.328,431732710875.763,309189000000,412683000000,45.6946418805752,85981781766.4555,0.99,2.01,1.04,0.8,6.14945900451023,15.2876933574368,73.465045789663,11.0328119505819,42.6954661318656,7.38588303636718,53.0223961357176,52.4699530916406,1.44166445896522
AUS,"Australia",2023,1734451264655.6,65058.3773146674,1657945321649.23,26659922,387533147572.319,463117015978.139,287406000000,371407000000,49.044339318428,59419752603.2881,,,,,6.12272392365969,14.7934222298022,74.2643289044968,11.6335324538363,34.9834475509909,8.32905584836961,54.0236558180617,45.9348184548919,1.50519106560509
AUS,"Australia",2024,1757022451652.83,64609.9865116088,1695733097667.25,27194286,395749225409.455,432605705549.386,296340000000,340827000000,47.1453811065195,19152544073.9859,,,,,6.44767390132498,13.3321467362803,75.3196347457048,12.073033995206,33.1901228403116,9.5505624686651,,,1.51535803855596
BRA,"Brazil",2015,1802212206814.5,8936.19661712113,1768300112176.37,201675532,253272712377.634,232488824444.589,180460000000,186782000000,26.95362593736,-28224926938.445,8.27,13.66,10.26,2.02,5.21313407540425,15.6211641894135,74.7980062682687,37.9778956806647,7.36062490155865,34.8651659700771,56.5641596181149,50.6061949367233,3.32690438276879
BRA,"Brazil",2016,1795693482853.01,8836.28652735657,1757597118447.99,203218114,216686387069.85,223863343103.297,145248000000,179526000000,24.5336820777006,7888268360.8,8.01,13.56,9.65,2.48,7.42536207040476,12.3737577498111,75.8498413216173,37.8781906668221,6.45092898767891,36.1209000742178,60.1225531131866,50.7372256066078,3.49131342157271
BRA,"Brazil",2017,2063514977365.65,10080.5092819305,2024937440970.06,204703445,243510584262.84,258330777006.501,165855000000,214988000000,24.3197343743057,15770565742.07,8.59,13.41,10.01,2.88,6.32149411569174,14.7169891147575,74.4958950484185,36.1004202021097,8.70889192124879,34.8248260736675,57.4591579861429,47.1202728616649,3.19138944630048
BRA,"Brazil",2018,1916933898010.99,9300.66164923219,1863630987964.67,206107261,272994464677.427,280543266303.121,192840000000,231890000000,28.8762033763866,5020740727.415,7.95,13.46,9.25,2.54,5.38447644097633,15.1324917647007,74.9460971648721,34.6388149937206,12.7686622344956,32.3576397610223,55.7192342995055,46.5730339347904,3.65382536145755
BRA,"Brazil",2019,1873288205059.69,9029.83326681073,1822994395902.52,207455459,276634813667.029,264562979421.068,193162000000,221127000000,28.8902578698964,-8913681707.435,7.97,13.43,9.16,2.65,5.39026493215019,13.881883250891,76.3313074075326,34.5257195124328,13.7087051192779,30.1943927380285,56.0192087279586,47.3823195977398,3.9444710972507
BRA,"Brazil",2020,1476107231310.49,7074.19378337644,1445311140602.49,208660842,233941246230.247,242872071018.291,166336000000,209180000000,32.3020785437939,11006501378.435,8.41,13.55,9.55,2.93,6.30010348205256,10.0774648671464,79.2546323511529,38.9094713157649,11.8904796185398,25.0396470697203,55.187138613973,42.6549273426387,5.15517878751281
BRA,"Brazil",2021,1670647398904.9,7972.5366498646,1618525125551.47,209550294,309853308958.678,319251201403.084,234690000000,280815000000,37.6563307598082,15355119391.01,7.76,13.2,9.11,2.31,5.43366665102592,13.6008473721902,76.0027846595754,34.7771632382264,13.6578322774084,25.1214886663242,55.3788816082744,43.2849173242172,5.39440078962503
BRA,"Brazil",2022,1951923942083.32,9281.33334441234,1895345889306.1,210306415,374482483050.831,383177602116.201,292245000000,334136000000,38.8160659763397,9643356978.81,7.26,13.29,8.68,1.93,4.90797968652848,17.7848730964223,73.2017036131109,39.5273943444507,16.9977876592036,25.2910278666909,56.6006849763528,45.7908130886118,5.16397029102111
BRA,"Brazil",2023,2191131765684.63,10377.5892792557,2121605970130.43,211140729,343939883228.749,393731572887.926,252710000000,339696000000,33.6662298301438,48569467228.695,,,,,5.36398908769221,15.4477629244906,75.463132297384,42.0864551625389,16.2396336722963,24.0930367154098,56.3874678216113,42.5611670556049,4.99437976287199
BRA,"Brazil",2024,2185821610689.31,10310.5486973693,2112836203442.8,211998573,385708868264.323,392105346047.039,277954000000,337046000000,35.5845239386244,11515360810.91,,,,,5.71222679731262,13.1951511742727,77.4304554382736,40.3549418618818,16.958206628778,23.2192423581155,,,5.3889349057096
CAN,"Canada",2015,1556510380200.23,43594.2379080706,1532663548013.94,35704498,534115083556.223,495747450357.728,430124000000,410062000000,66.1648355844224,-38583775871.449,1.65,3.14,1.12,3.95,8.18251389529433,7.02123434786925,77.264624262667,12.2650921931972,20.6034302087075,50.7074124871138,73.7574433414688,90.1907839618745,1.27878620362554
CAN,"Canada",2016,1527996250640.92,42314.1033623905,1509327936731.45,36110803,517396012626.09,481357649980.237,412940000000,389991000000,65.3636199818813,-36241676908.6054,1.56,2.95,0.97,4.16,8.46973134891178,6.3097016907938,77.830213314081,12.8537932602701,17.6256219682134,52.6756996645379,73.2427967535695,90.2412473799919,1.3256151637482
CAN,"Canada",2017,1649269496514.62,45129.7335281051,1628291572163.23,36545075,554922650425.45,518766780219.71,443651000000,420665000000,65.1009087910845,-36237673595.1703,1.52,1.99,0.97,4.31,8.20309596250041,6.9872194226693,77.462988623653,12.4827191580112,21.9517954420132,48.74193235449,72.748453643505,90.2749192090192,1.29793584646039
CAN,"Canada",2018,1725330736237.69,46539.2177903178,1695996608536.1,37072620,591347645767.306,557719627178.031,469106000000,452313000000,66.59982627163,-33732774271.5123,1.47,1.99,0.94,4.09,7.93445182112811,7.95390917269528,76.8189201043601,11.92683043971,24.0190349725915,47.6495767638228,73.0202501719263,89.8000486075799,1.29581792813534
CAN,"Canada",2019,1743728952156.85,46352.9695208927,1722945761061.66,37618495,589706748631.384,564142104614.779,462993000000,448817000000,66.1713422730605,-25538102775.714,1.51,2.1,0.83,4.96,8.19588860909452,7.32638584051867,77.1944659136614,11.1762071277981,22.1408507825001,48.2028243078681,72.8812529668639,90.4888746963713,1.32679336266012
CAN,"Canada",2020,1655686966881.99,43537.8981198851,1643688332920.87,38028638,524572641557.224,487990676642.934,420934000000,390821000000,61.1566883386797,-36499244170.9959,1.49,1.87,0.88,4.52,9.36750692188637,4.97246587828512,76.3442536813811,14.0683109690006,17.7117312023626,47.2013622733367,70.6347565150087,89.4793459293693,1.34115267222386
CAN,"Canada",2021,2022377950896.78,52886.6407813788,2003790799350.67,38239864,628388638999.206,630478158309.719,506476000000,509441000000,62.2468612630348,2027310252.331,2.35,2.06,1.77,5.15,8.69388542569324,6.19123572839234,75.7448622822153,12.9546850012824,23.8688657837555,42.9737343864186,70.1961820820992,90.0746394657453,1.2538769021268
CAN,"Canada",2022,2200562785046.32,56496.9275340663,2168803845044.62,38950132,731290006744.08,742056361162.595,586133000000,601632000000,66.9531620692051,11050538165.6298,1.37,1.83,0.76,4.06,8.40247661513113,7.9035303272759,74.950928764381,11.7797220033621,30.1749905885513,40.5960226731841,70.2652244513201,90.830925062651,1.30155477474355
